EAN,ITEM SKU,PRODUCT NAME,BRAND NAME,REQUIRED PRICE TO AMAZON
8005610340784,2117,Hugo Man,HUGO BOSS,22.83
737052320441,2125,Hugo Man,HUGO BOSS,23.5
737052354996,2161,Boss Bottled,HUGO BOSS,26.27
737052351155,2167,Boss Bottled,HUGO BOSS,48.57
737052354927,2169,Boss Bottled,HUGO BOSS,34.19
737052355054,2170,Boss Bottled,HUGO BOSS,24.65
3605471700199,2210,Effusion,Iceberg,22.99
799575501295,2213,Twice,Iceberg,27.66
799575500687,2217,Twice,Iceberg,27.7
3423470311358,2229,L´Eau D´Issey Pour Homme,Issey Miyake,63.87
3423470481129,2237,L´Eau D´Issey,Issey Miyake,33.05
3423470317169,2262,Classique,Jean Paul Gaultier,99.46
3423470317534,2287,Le Male,Jean Paul Gaultier,95.4
3562700361005,2305,Jaguar,Jaguar,21.64
3562700373084,2309,Classic,Jaguar,23.44
3414200140010,2325,Glow By JLo,Jennifer Lopez,31.32
3414201420302,2329,Miami Glow,Jennifer Lopez,39.16
3414200143004,2339,Love At First Glow,Jennifer Lopez,20.63
3414206015763,2429,All about Eve,JOOP!,35.24
3414206000615,2435,Homme,JOOP!,29.38
3414206000608,2436,Homme,JOOP!,50.11
3414206000592,2444,Homme,JOOP!,37.2
35017009012,2470,Musk,Jövan,23.19
3352818716008,2483,Kenzo Amour,KENZO,52.87
3352818718002,2485,Kenzo Amour,KENZO,78.59
3352818517308,2490,Flower By Kenzo,KENZO,57.6
3274871924469,2491,Flower By Kenzo,KENZO,61.72
3274872404113,2494,Flower By Kenzo,KENZO,46.73
3274872289994,2504,Kenzo Jungle L Élephant,KENZO,95.55
3352818362335,2513,L´Eau Kenzo Pour Homme,KENZO,39.58
3352817962307,2515,L´Eau Kenzo Pour Femme,KENZO,39.09
3352817718348,2532,Parfum D´Ete,KENZO,92.41
737052483214,2563,Essential,Lacoste,67.52
737052191218,2587,Pour Femme,Lacoste,14.16
737052191324,2621,Touch Of Pink,Lacoste,62.25
3414200064439,2683,Eau De Lancaster,Lancaster,24.99
3147758235548,2699,Hypnôse,Lancôme,66.69
3147758029390,2722,Miracle,Lancôme,107.65
3386461515619,2772,Arpege,Lanvin,47.4
3386461515671,2782,Éclat D´Arpege,Lanvin,51.42
3386461515688,2783,Éclat D´Arpege,Lanvin,38.15
3386461515701,2785,Éclat D´Arpege,Lanvin,38.41
3386461519457,2786,Éclat D´Arpege,Lanvin,29.22
3386461515732,2792,L´Homme,Lanvin,36.63
3139093021429,2796,Oxygene,Lanvin,34.79
3139093035228,2801,Oxygene Homme,Lanvin,33.18
3386461539301,2803,Rumeur,Lanvin,40.17
4084500214200,2830,Laura,Laura Biagiotti,27.86
4084500214309,2832,Laura,Laura Biagiotti,48.35
4084500214255,2833,Laura,Laura Biagiotti,38.87
4084500704008,2834,Laura,Laura Biagiotti,28.33
4084500234420,2839,Roma,Laura Biagiotti,44.69
4084500234697,2842,Roma,Laura Biagiotti,53.8
4084500236455,2847,Roma Uomo,Laura Biagiotti,19.03
4084500236059,2850,Roma Uomo,Laura Biagiotti,42.25
8011530000134,2851,Roma Uomo,Laura Biagiotti,53.44
766124300562,2936,Individuel,Montblanc,44.49
3386460028325,2956,Presence,Montblanc,45.76
3386460028349,2958,Presence,Montblanc,36.99
766124306335,2967,Starwalker,Montblanc,43.78
8011003991457,2993,Cheap And Chic I Love Love,Moschino,62.37
8011003064106,3009,Uomo?,Moschino,45.82
3414204201007,3025,Sculpture,Nikos,16.06
3137370072744,3032,L´Air Du Temps,Nina Ricci,40.53
3137370207016,3035,L´Air Du Temps,Nina Ricci,75.06
3137370183914,3066,Premier Jour,Nina Ricci,78.9
5050456522736,3078,Cerruti 1881 Pour Femme,Nino Cerruti,46.02
5050456522743,3080,Cerruti 1881 Pour Homme,Nino Cerruti,38.55
5050456522767,3082,Cerruti 1881 Pour Femme,Nino Cerruti,26.2
688575134483,3086,Cerruti 1881 Pour Femme,Nino Cerruti,35.18
5050456523764,3097,Image Homme,Nino Cerruti,33.42
5050456523757,3101,Image,Nino Cerruti,30.49
3349668161348,3122,Black XS,Paco Rabanne,79.71
3349668081318,3127,Paco,Paco Rabanne,46.93
3349668021345,3134,Paco Rabanne Pour Homme,Paco Rabanne,64.35
3349666010518,3143,Ultraviolet Man,Paco Rabanne,73.24
3349668111343,3161,XS,Paco Rabanne,62.19
3360373007905,3168,Minotaure,Paloma Picasso,54.55
3360370600062,3169,Paloma Picasso,Paloma Picasso,59.84
3360370600192,3170,Paloma Picasso,Paloma Picasso,84.86
3360373000159,3171,Paloma Picasso,Paloma Picasso,46.77
3360373054701,3172,Paloma Picasso,Paloma Picasso,39.68
3386469011076,3182,Extreme,Paul Smith,21.48
3386469010970,3186,Extreme Women,Paul Smith,49.54
3386469109841,3196,Women,Paul Smith,21.72
3360377032767,3238,Polo Black,Ralph Lauren,98.8
3360377022928,3250,Polo Blue,Ralph Lauren,99.2
3360377022911,3254,Polo Blue,Ralph Lauren,76.03
3360372012825,3259,Polo Green,Ralph Lauren,98.64
3360372012818,3261,Polo Green,Ralph Lauren,72.21
3360372055402,3269,Polo Sport,Ralph Lauren,79.36
3360372055419,3278,Polo Sport,Ralph Lauren,48.21
3360377002968,3294,Romance,Ralph Lauren,101.95
3360377002951,3298,Romance,Ralph Lauren,87.58
716393019986,3311,Safari For Men,Ralph Lauren,84.29
3139420000615,3370,Madame,Rochas,56.19
3139420008161,3375,Rochas Man,Rochas,53.72
3139420003821,3385,Tocade,Rochas,53.22
3331430850017,3399,Dalissime,Salvador Dali,23.19
3331430850031,3401,Dalissime,Salvador Dali,41.74
3331436101014,3409,Eau de Rubylips,Salvador Dali,19.46
3331436101038,3414,Eau de Rubylips,Salvador Dali,34.75
8595562296418,3416,Eau de Rubylips,Salvador Dali,20.57
3331430890013,3420,Femme,Salvador Dali,27.26
3331430890730,3423,Laguna,Salvador Dali,41.54
3331430875010,3424,Laguna,Salvador Dali,21.5
3331430890723,3426,Laguna,Salvador Dali,26.06
8032529114076,3458,Incanto Charms,Salvatore Ferragamo,37.76
646875422525,3472,Pour Femme,Salvatore Ferragamo,48.71
646875431527,3475,Pour Homme,Salvatore Ferragamo,39.14
